Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Georgia;2020-02-26;     1;   1;   0; 0;     0;   0;    1;    1;2020;luty;26;środa;0,0000;0,0000;1,0000;  1;  0;266,0;187,5;263,5;175,5
Georgia;2020-02-27;     1;   0;   0; 0;     0;   0;    1;    0;2020;luty;27;czwartek;0,0000;0,0000;1,0000;  2;  0;276,5;187,5;263,5;189,5
Georgia;2020-02-28;     1;   0;   0; 0;     0;   0;    1;    0;2020;luty;28;piątek;0,0000;0,0000;1,0000;  3;  0;276,5;187,5;263,5;189,5
Georgia;2020-02-29;     1;   0;   0; 0;     0;   0;    1;    0;2020;luty;29;sobota;0,0000;0,0000;1,0000;  4;  0;276,5;187,5;263,5;189,5
Georgia;2020-03-01;     3;   2;   0; 0;     0;   0;    3;    2;2020;marzec; 1;niedziela;0,0000;0,0000;1,0000;  5;  0;254,0;187,5;263,5;164,5
Georgia;2020-03-02;     3;   0;   0; 0;     0;   0;    3;    0;2020;marzec; 2;poniedziałek;0,0000;0,0000;1,0000;  6;  0;276,5;187,5;263,5;189,5
Georgia;2020-03-03;     3;   0;   0; 0;     0;   0;    3;    0;2020;marzec; 3;wtorek;0,0000;0,0000;1,0000;  7;  0;276,5;187,5;263,5;189,5
Georgia;2020-03-04;     3;   0;   0; 0;     0;   0;    3;    0;2020;marzec; 4;środa;0,0000;0,0000;1,0000;  8;  0;276,5;187,5;263,5;189,5
Georgia;2020-03-05;     4;   1;   0; 0;     0;   0;    4;    1;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000;  9;  0;266,0;187,5;263,5;175,5
Georgia;2020-03-06;     4;   0;   0; 0;     0;   0;    4;    0;2020;marzec; 6;piątek;0,0000;0,0000;1,0000; 10;  0;276,5;187,5;263,5;189,5
Georgia;2020-03-07;     4;   0;   0; 0;     0;   0;    4;    0;2020;marzec; 7;sobota;0,0000;0,0000;1,0000; 11;  0;276,5;187,5;263,5;189,5
Georgia;2020-03-08;    13;   9;   0; 0;     0;   0;   13;    9;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000; 12;  0;154,5;187,5;263,5;108,0
Georgia;2020-03-09;    15;   2;   0; 0;     0;   0;   15;    2;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000; 13;  0;254,0;187,5;263,5;164,5
Georgia;2020-03-10;    15;   0;   0; 0;     0;   0;   15;    0;2020;marzec;10;wtorek;0,0000;0,0000;1,0000; 14;  0;276,5;187,5;263,5;189,5
Georgia;2020-03-11;    24;   9;   0; 0;     0;   0;   24;    9;2020;marzec;11;środa;0,0000;0,0000;1,0000; 15;  0;154,5;187,5;263,5;108,0
Georgia;2020-03-12;    24;   0;   0; 0;     0;   0;   24;    0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000; 16;  0;276,5;187,5;263,5;189,5
Georgia;2020-03-13;    25;   1;   0; 0;     0;   0;   25;    1;2020;marzec;13;piątek;0,0000;0,0000;1,0000; 17;  0;266,0;187,5;263,5;175,5
Georgia;2020-03-14;    30;   5;   0; 0;     0;   0;   30;    5;2020;marzec;14;sobota;0,0000;0,0000;1,0000; 18;  0;208,0;187,5;263,5;132,0
Georgia;2020-03-15;    33;   3;   0; 0;     0;   0;   33;    3;2020;marzec;15;niedziela;0,0000;0,0000;1,0000; 19;  0;237,5;187,5;263,5;152,0
Georgia;2020-03-16;    33;   0;   0; 0;     1;   1;   32;   -1;2020;marzec;16;poniedziałek;0,0000;0,0303;0,9697; 20;  0;276,5;187,5;238,5;203,0
Georgia;2020-03-17;    34;   1;   0; 0;     1;   0;   33;    1;2020;marzec;17;wtorek;0,0000;0,0294;0,9706; 21;  0;266,0;187,5;263,5;175,5
Georgia;2020-03-18;    38;   4;   0; 0;     1;   0;   37;    4;2020;marzec;18;środa;0,0000;0,0263;0,9737; 22;  0;222,5;187,5;263,5;141,0
Georgia;2020-03-19;    40;   2;   0; 0;     1;   0;   39;    2;2020;marzec;19;czwartek;0,0000;0,0250;0,9750; 23;  0;254,0;187,5;263,5;164,5
Georgia;2020-03-20;    43;   3;   0; 0;     1;   0;   42;    3;2020;marzec;20;piątek;0,0000;0,0233;0,9767; 24;  0;237,5;187,5;263,5;152,0
Georgia;2020-03-21;    49;   6;   0; 0;     1;   0;   48;    6;2020;marzec;21;sobota;0,0000;0,0204;0,9796; 25;  0;193,5;187,5;263,5;124,0
Georgia;2020-03-22;    54;   5;   0; 0;     3;   2;   51;    3;2020;marzec;22;niedziela;0,0000;0,0556;0,9444; 26;  0;208,0;187,5;225,5;152,0
Georgia;2020-03-23;    61;   7;   0; 0;     3;   0;   58;    7;2020;marzec;23;poniedziałek;0,0000;0,0492;0,9508; 27;  0;182,0;187,5;263,5;117,5
Georgia;2020-03-24;    70;   9;   0; 0;     9;   6;   61;    3;2020;marzec;24;wtorek;0,0000;0,1286;0,8714; 28;  0;154,5;187,5;162,0;152,0
Georgia;2020-03-25;    75;   5;   0; 0;    10;   1;   65;    4;2020;marzec;25;środa;0,0000;0,1333;0,8667; 29;  0;208,0;187,5;238,5;141,0
Georgia;2020-03-26;    79;   4;   0; 0;    11;   1;   68;    3;2020;marzec;26;czwartek;0,0000;0,1392;0,8608; 30;  0;222,5;187,5;238,5;152,0
Georgia;2020-03-27;    83;   4;   0; 0;    14;   3;   69;    1;2020;marzec;27;piątek;0,0000;0,1687;0,8313; 31;  0;222,5;187,5;209,0;175,5
Georgia;2020-03-28;    90;   7;   0; 0;    14;   0;   76;    7;2020;marzec;28;sobota;0,0000;0,1556;0,8444; 32;  0;182,0;187,5;263,5;117,5
Georgia;2020-03-29;    91;   1;   0; 0;    18;   4;   73;   -3;2020;marzec;29;niedziela;0,0000;0,1978;0,8022; 33;  0;266,0;187,5;189,5;222,0
Georgia;2020-03-30;   103;  12;   0; 0;    20;   2;   83;   10;2020;marzec;30;poniedziałek;0,0000;0,1942;0,8058; 34;  1;133,0;187,5;225,5;103,0
Georgia;2020-03-31;   110;   7;   0; 0;    21;   1;   89;    6;2020;marzec;31;wtorek;0,0000;0,1909;0,8091; 35;  2;182,0;187,5;238,5;124,0
Georgia;2020-04-01;   117;   7;   0; 0;    23;   2;   94;    5;2020;kwiecień; 1;środa;0,0000;0,1966;0,8034; 36;  3;182,0;187,5;225,5;132,0
Georgia;2020-04-02;   134;  17;   0; 0;    26;   3;  108;   14;2020;kwiecień; 2;czwartek;0,0000;0,1940;0,8060; 37;  4;111,5;187,5;209,0; 90,0
Georgia;2020-04-03;   155;  21;   0; 0;    28;   2;  127;   19;2020;kwiecień; 3;piątek;0,0000;0,1806;0,8194; 38;  5;104,0;187,5;225,5; 80,0
Georgia;2020-04-04;   162;   7;   1; 1;    36;   8;  125;   -2;2020;kwiecień; 4;sobota;0,0062;0,2222;0,7716; 39;  6;182,0; 81,0;140,0;213,0
Georgia;2020-04-05;   174;  12;   2; 1;    36;   0;  136;   11;2020;kwiecień; 5;niedziela;0,0115;0,2069;0,7816; 40;  7;133,0; 81,0;263,5; 98,0
Georgia;2020-04-06;   188;  14;   2; 0;    39;   3;  147;   11;2020;kwiecień; 6;poniedziałek;0,0106;0,2074;0,7819; 41;  8;125,0;187,5;209,0; 98,0
Georgia;2020-04-07;   196;   8;   3; 1;    46;   7;  147;    0;2020;kwiecień; 7;wtorek;0,0153;0,2347;0,7500; 42;  9;168,5; 81,0;149,0;189,5
Georgia;2020-04-08;   211;  15;   3; 0;    50;   4;  158;   11;2020;kwiecień; 8;środa;0,0142;0,2370;0,7488; 43; 10;118,5;187,5;189,5; 98,0
Georgia;2020-04-09;   218;   7;   3; 0;    51;   1;  164;    6;2020;kwiecień; 9;czwartek;0,0138;0,2339;0,7523; 44; 11;182,0;187,5;238,5;124,0
Georgia;2020-04-10;   234;  16;   3; 0;    54;   3;  177;   13;2020;kwiecień;10;piątek;0,0128;0,2308;0,7564; 45; 12;113,5;187,5;209,0; 92,5
