Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Luxembourg;2020-02-29;   1;    1;  0; 0;   0;    0;   1;    1;2020;luty;29;sobota;0,0000;0,0000;1,0000;  1;  0;183,0
Luxembourg;2020-03-01;   1;    0;  0; 0;   0;    0;   1;    0;2020;marzec; 1;niedziela;0,0000;0,0000;1,0000;  2;  0;194,0
Luxembourg;2020-03-02;   1;    0;  0; 0;   0;    0;   1;    0;2020;marzec; 2;poniedziałek;0,0000;0,0000;1,0000;  3;  0;194,0
Luxembourg;2020-03-03;   1;    0;  0; 0;   0;    0;   1;    0;2020;marzec; 3;wtorek;0,0000;0,0000;1,0000;  4;  0;194,0
Luxembourg;2020-03-04;   1;    0;  0; 0;   0;    0;   1;    0;2020;marzec; 4;środa;0,0000;0,0000;1,0000;  5;  0;194,0
Luxembourg;2020-03-05;   1;    0;  0; 0;   0;    0;   1;    0;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000;  6;  0;194,0
Luxembourg;2020-03-06;   2;    1;  0; 0;   0;    0;   2;    1;2020;marzec; 6;piątek;0,0000;0,0000;1,0000;  7;  0;183,0
Luxembourg;2020-03-07;   2;    0;  0; 0;   0;    0;   2;    0;2020;marzec; 7;sobota;0,0000;0,0000;1,0000;  8;  0;194,0
Luxembourg;2020-03-08;   3;    1;  0; 0;   0;    0;   3;    1;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000;  9;  0;183,0
Luxembourg;2020-03-09;   3;    0;  0; 0;   0;    0;   3;    0;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000; 10;  0;194,0
Luxembourg;2020-03-10;   5;    2;  0; 0;   0;    0;   5;    2;2020;marzec;10;wtorek;0,0000;0,0000;1,0000; 11;  0;174,5
Luxembourg;2020-03-11;   7;    2;  0; 0;   0;    0;   7;    2;2020;marzec;11;środa;0,0000;0,0000;1,0000; 12;  0;174,5
Luxembourg;2020-03-12;  19;   12;  0; 0;   0;    0;  19;   12;2020;marzec;12;czwartek;0,0000;0,0000;1,0000; 13;  0;121,0
Luxembourg;2020-03-13;  34;   15;  0; 0;   0;    0;  34;   15;2020;marzec;13;piątek;0,0000;0,0000;1,0000; 14;  0;110,0
Luxembourg;2020-03-14;  51;   17;  1; 1;   0;    0;  50;   16;2020;marzec;14;sobota;0,0196;0,0000;0,9804; 15;  0;106,0
Luxembourg;2020-03-15;  59;    8;  1; 0;   0;    0;  58;    8;2020;marzec;15;niedziela;0,0169;0,0000;0,9831; 16;  0;144,5
Luxembourg;2020-03-16;  77;   18;  1; 0;   0;    0;  76;   18;2020;marzec;16;poniedziałek;0,0130;0,0000;0,9870; 17;  0;104,5
Luxembourg;2020-03-17; 140;   63;  1; 0;   0;    0; 139;   63;2020;marzec;17;wtorek;0,0071;0,0000;0,9929; 18;  1; 56,5
Luxembourg;2020-03-18; 203;   63;  2; 1;   0;    0; 201;   62;2020;marzec;18;środa;0,0099;0,0000;0,9901; 19;  2; 56,5
Luxembourg;2020-03-19; 335;  132;  4; 2;   0;    0; 331;  130;2020;marzec;19;czwartek;0,0119;0,0000;0,9881; 20;  3; 13,0
Luxembourg;2020-03-20; 484;  149;  4; 0;   0;    0; 480;  149;2020;marzec;20;piątek;0,0083;0,0000;0,9917; 21;  4; 10,0
Luxembourg;2020-03-21; 670;  186;  8; 4;   0;    0; 662;  182;2020;marzec;21;sobota;0,0119;0,0000;0,9881; 22;  5;  5,0
Luxembourg;2020-03-22; 798;  128;  8; 0;   6;    6; 784;  122;2020;marzec;22;niedziela;0,0100;0,0075;0,9825; 23;  6; 15,0
Luxembourg;2020-03-23; 875;   77;  8; 0;   6;    0; 861;   77;2020;marzec;23;poniedziałek;0,0091;0,0069;0,9840; 24;  7; 39,0
Luxembourg;2020-03-24;1099;  224;  8; 0;   6;    0;1085;  224;2020;marzec;24;wtorek;0,0073;0,0055;0,9873; 25;  8;  3,0
Luxembourg;2020-03-25;1333;  234;  8; 0;   6;    0;1319;  234;2020;marzec;25;środa;0,0060;0,0045;0,9895; 26;  9;  1,0
Luxembourg;2020-03-26;1453;  120;  9; 1;   6;    0;1438;  119;2020;marzec;26;czwartek;0,0062;0,0041;0,9897; 27; 10; 20,5
Luxembourg;2020-03-27;1605;  152; 15; 6;  40;   34;1550;  112;2020;marzec;27;piątek;0,0093;0,0249;0,9657; 28; 11;  9,0
Luxembourg;2020-03-28;1831;  226; 18; 3;  40;    0;1773;  223;2020;marzec;28;sobota;0,0098;0,0218;0,9683; 29; 12;  2,0
Luxembourg;2020-03-29;1950;  119; 21; 3;  40;    0;1889;  116;2020;marzec;29;niedziela;0,0108;0,0205;0,9687; 30; 13; 22,0
Luxembourg;2020-03-30;1988;   38; 22; 1;  40;    0;1926;   37;2020;marzec;30;poniedziałek;0,0111;0,0201;0,9688; 31; 14; 86,0
Luxembourg;2020-03-31;2178;  190; 23; 1;  80;   40;2075;  149;2020;marzec;31;wtorek;0,0106;0,0367;0,9527; 32; 15;  4,0
Luxembourg;2020-04-01;2319;  141; 29; 6;  80;    0;2210;  135;2020;kwiecień; 1;środa;0,0125;0,0345;0,9530; 33; 16; 11,0
Luxembourg;2020-04-02;2487;  168; 30; 1;  80;    0;2377;  167;2020;kwiecień; 2;czwartek;0,0121;0,0322;0,9558; 34; 17;  6,0
Luxembourg;2020-04-03;2612;  125; 31; 1; 500;  420;2081; -296;2020;kwiecień; 3;piątek;0,0119;0,1914;0,7967; 35; 18; 17,0
Luxembourg;2020-04-04;2729;  117; 31; 0; 500;    0;2198;  117;2020;kwiecień; 4;sobota;0,0114;0,1832;0,8054; 36; 19; 23,0
Luxembourg;2020-04-05;2804;   75; 36; 5; 500;    0;2268;   70;2020;kwiecień; 5;niedziela;0,0128;0,1783;0,8088; 37; 20; 40,0
Luxembourg;2020-04-06;2843;   39; 41; 5; 500;    0;2302;   34;2020;kwiecień; 6;poniedziałek;0,0144;0,1759;0,8097; 38; 21; 85,0
Luxembourg;2020-04-07;2970;  127; 44; 3; 500;    0;2426;  124;2020;kwiecień; 7;wtorek;0,0148;0,1684;0,8168; 39; 22; 16,0
Luxembourg;2020-04-08;3034;   64; 46; 2; 500;    0;2488;   62;2020;kwiecień; 8;środa;0,0152;0,1648;0,8200; 40; 23; 55,0
Luxembourg;2020-04-09;3115;   81; 52; 6; 500;    0;2563;   75;2020;kwiecień; 9;czwartek;0,0167;0,1605;0,8228; 41; 24; 37,0
Luxembourg;2020-04-10;3223;  108; 54; 2; 500;    0;2669;  106;2020;kwiecień;10;piątek;0,0168;0,1551;0,8281; 42; 25; 25,0
Luxembourg;2020-04-11;3270;   47; 62; 8; 500;    0;2708;   39;2020;kwiecień;11;sobota;0,0190;0,1529;0,8281; 43; 26; 73,5
Luxembourg;2020-04-12;3281;   11; 66; 4; 500;    0;2715;    7;2020;kwiecień;12;niedziela;0,0201;0,1524;0,8275; 44; 27;129,0
Luxembourg;2020-04-13;3292;   11; 69; 3; 500;    0;2723;    8;2020;kwiecień;13;poniedziałek;0,0210;0,1519;0,8272; 45; 28;129,0
Luxembourg;2020-04-14;3307;   15; 67;-2; 500;    0;2740;   17;2020;kwiecień;14;wtorek;0,0203;0,1512;0,8285; 46; 29;110,0
Luxembourg;2020-04-15;3373;   66; 69; 2; 526;   26;2778;   38;2020;kwiecień;15;środa;0,0205;0,1559;0,8236; 47; 30; 50,5
Luxembourg;2020-04-16;3444;   71; 69; 0; 552;   26;2823;   45;2020;kwiecień;16;czwartek;0,0200;0,1603;0,8197; 48; 31; 43,0
Luxembourg;2020-04-17;3480;   36; 72; 3; 579;   27;2829;    6;2020;kwiecień;17;piątek;0,0207;0,1664;0,8129; 49; 32; 89,0
Luxembourg;2020-04-18;3537;   57; 72; 0; 601;   22;2864;   35;2020;kwiecień;18;sobota;0,0204;0,1699;0,8097; 50; 33; 64,0
Luxembourg;2020-04-19;3550;   13; 73; 1; 627;   26;2850;  -14;2020;kwiecień;19;niedziela;0,0206;0,1766;0,8028; 51; 34;116,0
Luxembourg;2020-04-20;3558;    8; 75; 2; 637;   10;2846;   -4;2020;kwiecień;20;poniedziałek;0,0211;0,1790;0,7999; 52; 35;144,5
Luxembourg;2020-04-21;3618;   60; 78; 3; 670;   33;2870;   24;2020;kwiecień;21;wtorek;0,0216;0,1852;0,7933; 53; 36; 60,0
Luxembourg;2020-04-22;3654;   36; 80; 2; 711;   41;2863;   -7;2020;kwiecień;22;środa;0,0219;0,1946;0,7835; 54; 37; 89,0
Luxembourg;2020-04-23;3665;   11; 83; 3; 728;   17;2854;   -9;2020;kwiecień;23;czwartek;0,0226;0,1986;0,7787; 55; 38;129,0
Luxembourg;2020-04-24;3695;   30; 85; 2;3007; 2279; 603;-2251;2020;kwiecień;24;piątek;0,0230;0,8138;0,1632; 56; 39; 94,5
Luxembourg;2020-04-25;3711;   16; 85; 0;3088;   81; 538;  -65;2020;kwiecień;25;sobota;0,0229;0,8321;0,1450; 57; 40;107,0
Luxembourg;2020-04-26;3723;   12; 88; 3;3104;   16; 531;   -7;2020;kwiecień;26;niedziela;0,0236;0,8337;0,1426; 58; 41;121,0
Luxembourg;2020-04-27;3729;    6; 88; 0;3123;   19; 518;  -13;2020;kwiecień;27;poniedziałek;0,0236;0,8375;0,1389; 59; 42;155,0
Luxembourg;2020-04-28;3741;   12; 89; 1;3123;    0; 529;   11;2020;kwiecień;28;wtorek;0,0238;0,8348;0,1414; 60; 43;121,0
Luxembourg;2020-04-29;3769;   28; 89; 0;3134;   11; 546;   17;2020;kwiecień;29;środa;0,0236;0,8315;0,1449; 61; 44; 97,0
Luxembourg;2020-04-30;3784;   15; 90; 1;3213;   79; 481;  -65;2020;kwiecień;30;czwartek;0,0238;0,8491;0,1271; 62; 45;110,0
Luxembourg;2020-05-01;3802;   18; 92; 2;3213;    0; 497;   16;2020;maj; 1;piątek;0,0242;0,8451;0,1307; 63; 46;104,5
Luxembourg;2020-05-02;3812;   10; 92; 0;3318;  105; 402;  -95;2020;maj; 2;sobota;0,0241;0,8704;0,1055; 64; 47;135,5
Luxembourg;2020-05-03;3824;   12; 96; 4;3379;   61; 349;  -53;2020;maj; 3;niedziela;0,0251;0,8836;0,0913; 65; 48;121,0
Luxembourg;2020-05-04;3828;    4; 96; 0;3405;   26; 327;  -22;2020;maj; 4;poniedziałek;0,0251;0,8895;0,0854; 66; 49;162,0
Luxembourg;2020-05-05;3840;   12; 96; 0;3412;    7; 332;    5;2020;maj; 5;wtorek;0,0250;0,8885;0,0865; 67; 50;121,0
Luxembourg;2020-05-06;3851;   11; 98; 2;3452;   40; 301;  -31;2020;maj; 6;środa;0,0254;0,8964;0,0782; 68; 51;129,0
Luxembourg;2020-05-07;3859;    8;100; 2;3505;   53; 254;  -47;2020;maj; 7;czwartek;0,0259;0,9083;0,0658; 69; 52;144,5
Luxembourg;2020-05-08;3871;   12;100; 0;3526;   21; 245;   -9;2020;maj; 8;piątek;0,0258;0,9109;0,0633; 70; 53;121,0
Luxembourg;2020-05-09;3877;    6;101; 1;3550;   24; 226;  -19;2020;maj; 9;sobota;0,0261;0,9157;0,0583; 71; 54;155,0
Luxembourg;2020-05-10;3886;    9;101; 0;3586;   36; 199;  -27;2020;maj;10;niedziela;0,0260;0,9228;0,0512; 72; 55;139,5
Luxembourg;2020-05-11;3888;    2;101; 0;3602;   16; 185;  -14;2020;maj;11;poniedziałek;0,0260;0,9264;0,0476; 73; 56;174,5
Luxembourg;2020-05-12;3894;    6;102; 1;3610;    8; 182;   -3;2020;maj;12;wtorek;0,0262;0,9271;0,0467; 74; 57;155,0
Luxembourg;2020-05-13;3904;   10;103; 1;3629;   19; 172;  -10;2020;maj;13;środa;0,0264;0,9296;0,0441; 75; 58;135,5
Luxembourg;2020-05-14;3915;   11;103; 0;3665;   36; 147;  -25;2020;maj;14;czwartek;0,0263;0,9361;0,0375; 76; 59;129,0
Luxembourg;2020-05-15;3923;    8;104; 1;3682;   17; 137;  -10;2020;maj;15;piątek;0,0265;0,9386;0,0349; 77; 60;144,5
Luxembourg;2020-05-16;3930;    7;104; 0;3699;   17; 127;  -10;2020;maj;16;sobota;0,0265;0,9412;0,0323; 78; 61;149,5
Luxembourg;2020-05-17;3945;   15;107; 3;3702;    3; 136;    9;2020;maj;17;niedziela;0,0271;0,9384;0,0345; 79; 62;110,0
Luxembourg;2020-05-18;3947;    2;107; 0;3715;   13; 125;  -11;2020;maj;18;poniedziałek;0,0271;0,9412;0,0317; 80; 63;174,5
Luxembourg;2020-05-19;3958;   11;109; 2;3718;    3; 131;    6;2020;maj;19;wtorek;0,0275;0,9394;0,0331; 81; 64;129,0
