Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Maldives;2020-03-08;   4;  4;0;0;   0;  0;   4;   4;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000;  1; 0
Maldives;2020-03-09;   4;  0;0;0;   0;  0;   4;   0;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000;  2; 0
Maldives;2020-03-10;   6;  2;0;0;   0;  0;   6;   2;2020;marzec;10;wtorek;0,0000;0,0000;1,0000;  3; 0
Maldives;2020-03-11;   8;  2;0;0;   0;  0;   8;   2;2020;marzec;11;środa;0,0000;0,0000;1,0000;  4; 0
Maldives;2020-03-12;   8;  0;0;0;   0;  0;   8;   0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  5; 0
Maldives;2020-03-13;   9;  1;0;0;   0;  0;   9;   1;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  6; 0
Maldives;2020-03-14;  10;  1;0;0;   0;  0;  10;   1;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  7; 0
Maldives;2020-03-15;  13;  3;0;0;   0;  0;  13;   3;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  8; 0
Maldives;2020-03-16;  13;  0;0;0;   0;  0;  13;   0;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  9; 0
Maldives;2020-03-17;  13;  0;0;0;   0;  0;  13;   0;2020;marzec;17;wtorek;0,0000;0,0000;1,0000; 10; 0
Maldives;2020-03-18;  13;  0;0;0;   0;  0;  13;   0;2020;marzec;18;środa;0,0000;0,0000;1,0000; 11; 0
Maldives;2020-03-19;  13;  0;0;0;   0;  0;  13;   0;2020;marzec;19;czwartek;0,0000;0,0000;1,0000; 12; 0
Maldives;2020-03-20;  13;  0;0;0;   0;  0;  13;   0;2020;marzec;20;piątek;0,0000;0,0000;1,0000; 13; 0
Maldives;2020-03-21;  13;  0;0;0;   0;  0;  13;   0;2020;marzec;21;sobota;0,0000;0,0000;1,0000; 14; 0
Maldives;2020-03-22;  13;  0;0;0;   0;  0;  13;   0;2020;marzec;22;niedziela;0,0000;0,0000;1,0000; 15; 0
Maldives;2020-03-23;  13;  0;0;0;   0;  0;  13;   0;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 16; 0
Maldives;2020-03-24;  13;  0;0;0;   5;  5;   8;  -5;2020;marzec;24;wtorek;0,0000;0,3846;0,6154; 17; 0
Maldives;2020-03-25;  13;  0;0;0;   8;  3;   5;  -3;2020;marzec;25;środa;0,0000;0,6154;0,3846; 18; 0
Maldives;2020-03-26;  13;  0;0;0;   8;  0;   5;   0;2020;marzec;26;czwartek;0,0000;0,6154;0,3846; 19; 0
Maldives;2020-03-27;  16;  3;0;0;   9;  1;   7;   2;2020;marzec;27;piątek;0,0000;0,5625;0,4375; 20; 0
Maldives;2020-03-28;  16;  0;0;0;   9;  0;   7;   0;2020;marzec;28;sobota;0,0000;0,5625;0,4375; 21; 0
Maldives;2020-03-29;  17;  1;0;0;  13;  4;   4;  -3;2020;marzec;29;niedziela;0,0000;0,7647;0,2353; 22; 0
Maldives;2020-03-30;  17;  0;0;0;  13;  0;   4;   0;2020;marzec;30;poniedziałek;0,0000;0,7647;0,2353; 23; 0
Maldives;2020-03-31;  18;  1;0;0;  13;  0;   5;   1;2020;marzec;31;wtorek;0,0000;0,7222;0,2778; 24; 0
Maldives;2020-04-01;  19;  1;0;0;  13;  0;   6;   1;2020;kwiecień; 1;środa;0,0000;0,6842;0,3158; 25; 0
Maldives;2020-04-02;  19;  0;0;0;  13;  0;   6;   0;2020;kwiecień; 2;czwartek;0,0000;0,6842;0,3158; 26; 0
